site_id,name,latitude,longitude,operator,n_refill_points,max_power_kw,connector_types,type_of_site
2025000153,"Aparcamiento I.E.S. Villanueva, Estación FFCC",43.39091,-5.666429,EDISON NEXT SPAIN SLU,3,22.0,iec62196T2,openSpace
2025000317,Elx_Sant Joan_4,38.38959,-0.436039,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,2,22.0,iec60309x2three32,openSpace
2025000316,Elx_Altea_7,38.600338,-0.05687981,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,1,22.0,iec60309x2three32,openSpace
2025000315,Elx_Torrevaíllo_3,38.27775,-0.69163454,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,1,22.0,iec60309x2three32,openSpace
2025000305,VISTAGIRALDA,37.3634,-6.039264,Prio Recharge Sl.,2,90.0,iec62196T2COMBO,other
2025000301,E-MA-Fuengirola-003,36.54168,-4.62529,IBERDROLA CLIENTES S.A.U,2,22.0,iec62196T2,openSpace
2025000306,Nuevo parking Estadio El Bayu,43.3846,-5.660876,EDISON NEXT SPAIN SLU,2,22.0,iec62196T2,openSpace
2025000307,Nuevo aparcamiento plaza el ferroviario,43.38537,-5.703455,EDISON NEXT SPAIN SLU,1,150.0,chademo|iec62196T2|iec62196T3A,openSpace
2025000308,Aparcamiento polideportivo y piscina municipal,43.39256,-5.649494,EDISON NEXT SPAIN SLU,4,22.0,iec62196T2,openSpace
2025000309,Complejo deportivo municipal,43.406742,-5.810471,EDISON NEXT SPAIN SLU,2,22.0,iec62196T2,openSpace
2025000310,Aparcamiento Campo de futbol,43.38207,-5.697552,EDISON NEXT SPAIN SLU,3,22.0,iec62196T2,openSpace
2025000311,Aparcamiento Centro de Salud La Fresneda,43.416252,-5.789939,EDISON NEXT SPAIN SLU,1,22.0,iec62196T2,openSpace
2025000312,Aparcamiento Plaza Mayor La Fresneda,43.412296,-5.790207,EDISON NEXT SPAIN SLU,1,150.0,chademo|iec62196T2|iec62196T3A,openSpace
2025000313,Aparcamiento Polideportivo La Fresneda,43.417515,-5.789173,EDISON NEXT SPAIN SLU,1,22.0,iec62196T2,openSpace
2025000314,Aparcamiento Siero Este - Naves de la tejera,43.3906,-5.654424,EDISON NEXT SPAIN SLU,3,22.0,iec62196T2,openSpace
2024007507,Elx_Rectorado_1,38.274883,-0.684929,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,2,22.0,iec60309x2three32,openSpace
2025000298,MACENAS RESORT,37.083523,-1.8520684,"ARETE MACENAS HOTELES, S.L.",1,22.0,iec62196T2,inBuilding
2025000292,"Sallent, Spain",41.789665,1.897825,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace
2025000293,"Camargo, Spain",43.42935,-3.838126,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace
2025000294,"Saelices, Spain",39.91699,-2.798463,Tesla Spain SLU,4,250.0,iec62196T2COMBO,openSpace
2025000295,"Totana, Spain",37.77606,-1.454229,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace
2025000296,"Granada, Spain - Urban",37.143806,-3.605513,Tesla Spain SLU,8,250.0,iec62196T2COMBO,openSpace
