Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap
A-5,Autopista libre\Autovía,37385.40787992969,5885.549917674309,False
A-5,Autopista libre\Autovía,14622.898112351477,4013.588530175453,False
A-5,Autopista libre\Autovía,13400.302485771124,2243.7214550500503,False
A-5,Autopista libre\Autovía,0.8938001406617491,3619.9015766380144,False
A-50,Autopista libre\Autovía,96055.06380578094,9861.344901116398,False
A-50,Autopista libre\Autovía,2857.583134946447,944.260085489991,False
A-50,Autopista libre\Autovía,1149.6984408960423,333.539174755471,False
A-52,Autopista libre\Autovía,232.11561650491132,5800.397149689757,False
A-52,Autopista libre\Autovía,160504.39208800034,4463.375490761532,False
A-52,Autopista libre\Autovía,68653.5730595324,3770.2726170761903,False
A-52,Autopista libre\Autovía,10883.279415726198,2782.89468554822,False
A-52,Autopista libre\Autovía,66169.5819301298,3398.8330334330485,False
A-52,Autopista libre\Autovía,3.8575837884557216,415.0938733128586,False
A-54,Autopista libre\Autovía,38207.48280182953,5192.694392445922,False
A-54,Autopista libre\Autovía,11936.011197798349,3278.888713445252,False
A-54,Autopista libre\Autovía,18105.463745379977,6947.772808205845,False
A-54,Autopista libre\Autovía,8270.77610594366,3201.123346249121,False
A-54,Autopista libre\Autovía,846.1102306106909,228.9692865239932,False
A-55,Multicarril,2584.8093199673635,102.03332600978172,False
A-55,Autopista libre\Autovía,5003.220902446751,551.5671894253566,False
A-55,Autopista libre\Autovía,6288.9355299628805,2307.244532319641,False
A-55,Autopista libre\Autovía,12424.44279153112,433.81469496204505,False
A-55,Autopista libre\Autovía,4724.828834754233,1742.826271283332,False
A-55,Autopista libre\Autovía,90.7454345509519,649.862969424848,False
A-56,Autopista libre\Autovía,8997.416713894654,19420.919612627284,False
A-58,Autopista libre\Autovía,45566.89403239672,16559.242280128576,False
A-5R,Autopista libre\Autovía,2810.8826517454513,1625.5165711878674,False
A-6,Autopista libre\Autovía,3716.494152590146,307.63048691138516,False
A-6,Autopista libre\Autovía,11139.280670885155,1695.2498062633974,False
A-6,Autopista libre\Autovía,17788.31103264831,570.8083073595261,False
A-6,Autopista libre\Autovía,52.43037448972316,604.8969687575453,False
A-6,Autopista libre\Autovía,73258.03605583303,5047.09173340129,False
A-6,Autopista libre\Autovía,38.214179903013886,2831.2660436357205,False
A-6,Autopista libre\Autovía,2669.20190784638,1538.13058882089,False
A-6,Autopista libre\Autovía,71708.71898972643,3516.2199382806484,False
A-6,Autopista libre\Autovía,2140.528683876836,4232.453361969761,False
A-6,Autopista libre\Autovía,11163.201522515103,846.2119172522455,False
A-6,Autopista libre\Autovía,54985.292882942915,6037.322251522766,False
A-6,Autopista libre\Autovía,64776.46540664058,11360.725828566952,False
A-6,Autopista libre\Autovía,100492.39386642692,6815.129077730631,False
A-6,Autopista libre\Autovía,34657.64248758499,2008.5545989487175,False
A-6,Autopista libre\Autovía,47548.3863020883,5270.746667202957,False
A-6,Autopista libre\Autovía,15876.761878915788,4759.141053661646,False
A-6,Autopista libre\Autovía,7001.856070917686,1249.8114087143797,False
A-60,Autopista libre\Autovía,15213.050235272565,1743.8518002056553,False
A-60,Autopista libre\Autovía,27004.622230628287,2091.7569755574536,False
A-62,Autopista libre\Autovía,80677.39199102066,7754.648111651664,False
A-62,Autopista libre\Autovía,30667.696033591266,4551.6956759919985,False
A-62,Autopista libre\Autovía,6829.562708809659,1576.5953367505845,False
A-62,Autopista libre\Autovía,27046.68738479228,1496.162538618205,False
A-62,Autopista libre\Autovía,1929.6767857643185,692.1033106156552,False
A-62,Autopista libre\Autovía,83838.57729885462,11782.596512124814,False
A-62,Autopista libre\Autovía,5276.297016879369,1185.8049724613145,False
A-62,Autopista libre\Autovía,108758.6897462278,2697.498144525521,False
A-62,Autopista libre\Autovía,3.9992172952190783,510.70906789209863,False
A-62,Autopista libre\Autovía,3192.255260116801,747.483471299806,False
A-63,Autopista libre\Autovía,30408.61960475548,1625.5021820508207,False
A-64,Autopista libre\Autovía,32297.520752297227,3286.4341062452595,False
A-65,Autopista libre\Autovía,10721.756776278602,4677.117990386904,False
A-66,Autopista libre\Autovía,12587.216608992934,586.5316842422669,False
A-66,Autopista libre\Autovía,8364.625405914216,859.4715700295653,False
A-66,Autopista libre\Autovía,14578.579765721322,4154.127468960847,False
A-66,Autopista libre\Autovía,18136.726833096454,867.0501660115661,False
A-66,Autopista libre\Autovía,18.18484581554232,884.7875383881309,False
A-66,Autopista libre\Autovía,9197.584086794266,3384.1554686300315,False
A-66,Autopista libre\Autovía,53266.503039253854,13740.022499270293,False
A-66,Autopista libre\Autovía,1697.255864040106,5396.582716503858,False
A-66,Autopista libre\Autovía,51227.411563773516,17027.009261773837,False
A-66,Autopista libre\Autovía,8788.907466246534,3667.5532496302067,False
A-66,Autopista libre\Autovía,62704.641846601735,27203.897714970804,False
