Carretera,Tipo_de_via,n_segments,total_length_m,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,n_gaps,gap_ratio,n_stations,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,has_chademo,has_ccs,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,ev_fleet_2027,ev_registrations_2026,ev_registrations_2027,ev_growth_rate,road_type_rank,stations_per_100km,refill_points_per_100km,needs_more_stations
A-49,Autopista libre\Autovía,2,132904.23542307812,66452.11771153906,2929.9820929490443,3952.90042029376,0,0.0,19,62,110.52263157894735,400.0,37.36810763157895,-6.229094978947368,8,True,True,0.014183698817299853,25.830000000000002,0.0,66.0,01 - Andalucía,Sevilla,327883,76108,88118,1.1578020707415777,4,14.296007903372468,46.65013105311016,0
A-4A,Autopista libre\Autovía,1,3112.847945252267,3112.847945252267,1518.8795109658945,1518.8795109658945,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-4R2,Multicarril,1,1473.1293217869895,1473.1293217869895,690.3554737647157,690.3554737647157,0,0.0,1,1,60.0,60.0,37.857365,-4.792339,1,False,False,0.01041726171604377,32.6,0.0,66.0,01 - Andalucía,Córdoba,327883,76108,88118,1.1578020707415777,2,67.88270284288029,67.88270284288029,0
A-5,Autopista libre\Autovía,13,395763.1950129387,30443.322693302976,5870.058614606888,25030.23817332408,0,0.0,53,236,78.59283018867924,360.0,39.884012339622636,-4.850067267924528,15,True,True,0.539296241299905,0.0,0.0,132.0,11 - Extremadura,Badajoz,327883,76108,88118,1.1578020707415777,4,13.39184660621796,59.63161885032903,0
A-50,Autopista libre\Autovía,3,100062.34538162343,33354.115127207806,3713.0480537872863,9861.344901116398,0,0.0,12,69,84.53833333333334,250.0,40.94861066666667,-5.643310641666667,7,True,True,1.6973929632112101,0.0,0.0,132.0,11 - Extremadura,Badajoz,327883,76108,88118,1.1578020707415777,4,11.992523215634936,68.95700848990087,0
A-52,Autopista libre\Autovía,6,306446.7996936821,51074.46661561369,3438.4778083036013,5800.397149689757,0,0.0,6,28,165.33333333333334,320.0,42.134245666666665,-7.888306333333333,5,True,True,0.825661161885782,9.35,0.0,50.0,12 - Galicia,Ourense,327883,76108,88118,1.1578020707415777,4,1.9579254885342174,9.13698561315968,0
A-54,Autopista libre\Autovía,5,77365.8440815622,15473.16881631244,3769.889709374027,6947.772808205845,0,0.0,2,16,86.0,150.0,42.931448,-8.035440000000001,2,True,True,0.5401728102942248,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,4,2.585120118241739,20.68096094593391,0
A-55,Autopista libre\Autovía,5,28532.173493245937,5706.434698649187,1137.0631314830446,2307.244532319641,0,0.0,13,25,142.46153846153845,350.0,42.150583153846156,-8.645056615384615,6,True,True,1.50365385048767,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,4,45.56259971949675,87.62038407595529,0
A-55,Multicarril,1,2584.8093199673635,2584.8093199673635,102.03332600978172,102.03332600978172,0,0.0,8,23,65.27125,150.0,42.221752375,-8.7089005,6,True,True,1.4767917739278111,28.28,0.0,132.0,12 - Galicia,A Coruña,327883,76108,88118,1.1578020707415777,2,309.500586298606,889.8141856084922,0
A-56,Autopista libre\Autovía,1,8997.416713894654,8997.416713894654,19420.919612627284,19420.919612627284,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-57,Autopista libre\Autovía,1,5738.413052490057,5738.413052490057,3624.5684832651177,3624.5684832651177,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-58,Autopista libre\Autovía,1,45566.89403239672,45566.89403239672,16559.242280128576,16559.242280128576,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-5R,Autopista libre\Autovía,1,2810.8826517454518,2810.8826517454518,1625.5165711878674,1625.5165711878674,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-6,Autopista libre\Autovía,17,519013.2164658313,30530.189203872433,3452.434708176497,11360.725828566952,0,0.0,61,224,98.73688524590163,400.0,41.158145032786884,-4.732364029508196,12,True,True,1.8095174330812185,0.0,0.0,132.0,11 - Extremadura,Badajoz,327883,76108,88118,1.1578020707415777,4,11.753072574022953,43.158823878379366,0
A-60,Autopista libre\Autovía,2,42217.67246590085,21108.836232950423,1917.8043878815545,2091.7569755574536,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-62,Autopista libre\Autovía,10,348220.833443352,34822.0833443352,3299.529714193166,11782.596512124814,0,0.0,31,116,101.91612903225807,400.0,41.571203193548385,-4.933269635483871,12,True,True,1.9139301558188633,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,4,8.902396704257797,33.31219411915821,0
A-63,Autopista libre\Autovía,1,30408.61960475548,30408.61960475548,1625.5021820508207,1625.5021820508207,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-64,Autopista libre\Autovía,1,32297.520752297227,32297.520752297227,3286.4341062452595,3286.4341062452595,0,0.0,5,10,68.8,150.0,43.3865496,-5.7240368,3,True,True,1.065809348773486,0.0,0.0,132.0,07 - C.León,León,327883,76108,88118,1.1578020707415777,4,15.481064439425634,30.962128878851267,0
A-65,Autopista libre\Autovía,1,10721.756776278602,10721.756776278602,4677.117990386904,4677.117990386904,0,0.0,0,0,0.0,0.0,,,0,False,False,,,,,,,327883,76108,88118,1.1578020707415777,4,0.0,0.0,1
A-66,Autopista libre\Autovía,18,689343.4424898508,38296.857916102825,6036.517853376217,27203.897714970804,0,0.0,37,118,93.83702702702702,350.0,41.33765845945946,-5.922790189189189,18,True,True,1.2804931772096417,0.0,0.0,50.0,07 - C.León,Zamora,327883,76108,88118,1.1578020707415777,4,5.367426121638163,17.117737360900087,0
A-67,Autopista libre\Autovía,5,203814.86093250941,40762.97218650188,4495.473868677162,11836.90664767535,0,0.0,12,41,52.574999999999996,150.0,43.169949,-4.0710290250000005,5,True,True,2.1459525529954777,7.19,0.0,45.0,07 - C.León,Soria,327883,76108,88118,1.1578020707415777,4,5.887696287256326,20.11629564812578,0
A-68,Autopista libre\Autovía,4,53755.944393569436,13438.986098392359,2009.057730410632,4232.031872679526,0,0.0,11,39,144.92454545454547,400.0,42.033483999999994,-1.5669993636363635,4,True,True,0.1507807591999766,0.0,0.0,66.0,02 - Aragón,Zaragoza,327883,76108,88118,1.1578020707415777,4,20.46285322319791,72.55011597315624,0
A-68,Multicarril,2,15334.032368368087,7667.016184184044,1263.5391596272434,1754.4242002581504,0,0.0,8,21,152.77125,350.0,41.69607525,-0.9890095375,5,True,True,0.01793950322050295,14.09,0.0,45.0,02 - Aragón,Zaragoza,327883,76108,88118,1.1578020707415777,2,52.171534582794116,136.95027827983455,0
