Carretera,Tipo_de_via,length_m,nearest_station_m,has_gap,segment_id,road_n_stations,road_total_refill_points,road_mean_power_kw,road_max_power_kw,road_n_operators,road_has_chademo,road_has_ccs,road_total_length_m,road_n_segments,road_n_gaps,road_gap_ratio,road_mean_nearest_m,road_max_nearest_m,road_centroid_lat,road_centroid_lon,road_min_lat,road_max_lat,road_min_lon,road_max_lon,road_span_lat,road_span_lon,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,comunidad_autonoma,provincia,municipio,grid_capacity_3nearest_mw,grid_maxvoltage_3nearest_kv,ev_fleet_2027,ev_reg_2026,ev_reg_2027,ev_growth_rate,road_type_rank,road_stations_per_100km,road_refill_per_100km,is_underserved,is_desert,stations_deficit_afir,priority_score,priority_score_norm
N-629,Carretera convencional,22999.843899864223,9450.9262717683,0,1276,4,11,99.325,180.0,3,1,1,83744.75079040547,2.0,0.0,0.0,8007.0505871370915,9450.9262717683,42.93108525,-3.4591773999999997,42.8031,43.05754,-3.4874406,-3.38866,0.25444000000000244,0.0987806,1.5513433708381335,1.61,0.0,30.0,07 - C.León,Soria,Oncala,10.870000000000001,45.0,327883,76108,88118,1.1578020707415777,1,4.776418775203132,13.135151631808613,0,0,0,9.153973837997949,0.22248456538856495
N-629A,Carretera convencional,1179.2519251753947,12368.432204093102,0,1277,0,0,0.0,0.0,0,0,0,1179.2519251753947,1.0,0.0,0.0,12368.432204093102,12368.432204093102,,,,,,,,,,,,,,,,,,327883,76108,88118,1.1578020707415777,1,0.0,0.0,0,0,0,9.422983563289645,0.22902276539612693
N-630,Carretera convencional,1903.957375513881,405.5916676937319,0,1278,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,6.0078094083471125,0.14601799052615322
N-630,Carretera convencional,14557.982452467257,4964.923541547686,0,1279,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,8.510354569563699,0.20684159374067806
N-630,Carretera convencional,76639.366896651,5703.173857579442,0,1280,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,8.648953441569923,0.21021019740367414
N-630,Carretera convencional,51464.5028156218,17839.7527906745,0,1281,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,9.789240602030429,0.23792453194329546
N-630,Carretera convencional,7511.835918034882,5376.759946697707,0,1282,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,8.590027199666299,0.20877801291725043
N-630,Multicarril,1115.8011328672146,1228.5706514066385,0,1283,25,67,43.1988,150.0,8,1,1,19036.581301581322,7.0,0.0,0.0,3688.149453924013,22402.76786462619,38.68730236,-6.0505824399999995,37.38271,40.957382,-6.398598,-5.665616,3.5746719999999996,0.7329819999999998,0.1286568518343873,5.43,2.38,66.0,11 - Extremadura,Badajoz,Hornachos,6.99,66.0,327883,76108,88118,1.1578020707415777,2,131.32610106796494,351.95395086214603,0,0,0,14.228840647064876,0.3458276682204
N-630,Carretera convencional,54647.46762571908,13673.884707178451,0,1284,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,9.523316196335333,0.23146131969533196
N-630,Carretera convencional,53955.287549033856,23774.27712090377,0,1285,45,141,82.56822222222223,360.0,10,1,1,650362.3488659344,21.0,0.0,0.0,6451.334365310549,23774.27712090377,40.27573135555556,-6.011571837777778,37.902946,43.3573,-6.435902,-5.589879,5.454354000000002,0.8460229999999997,1.344653748320367,0.0,0.0,132.0,11 - Extremadura,Badajoz,Herrera del Duque,15.32,132.0,327883,76108,88118,1.1578020707415777,1,6.919219736269864,21.68022184031224,0,0,0,10.076401543324788,0.24490389176571983
