n_segments,mean_segment_length_m,mean_nearest_station_m,max_nearest_station_m,total_refill_points,mean_max_power_kw,max_max_power_kw,mean_lat,mean_lon,n_operators,nearest_grid_dist_deg,grid_capacity_occupied_mw,grid_capacity_pending_mw,max_voltage_kv,refill_points_per_100km,afir_stations_required,afir_power_compliant,afir_power_gap_kw,is_tent_core,power_range_kw,has_hpc,connector_diversity,coverage_ratio,refill_per_station,gap_severity,station_density_per_segment,grid_strong_hv,grid_utilization,traffic_weight,ev_demand_2027_road,ev_fleet_2027_regional,ev_per_100km_regional,log_total_length_m,log_mean_nearest_station_m,log_n_stations,log_max_max_power_kw,log_refill_points_per_100km,log_grid_capacity_pending_mw,log_nearest_grid_dist_deg,log_ev_per_100km_regional,demand_vs_supply,grid_x_power,tent_x_gap,tipo_de_via_Autopista peaje,tipo_de_via_Carretera convencional,tipo_de_via_Multicarril,comunidad_autonoma_02 - Aragón,comunidad_autonoma_04 - Illes Balears,comunidad_autonoma_05 - Canarias,comunidad_autonoma_07 - C.León,comunidad_autonoma_08 - C.La Mancha,comunidad_autonoma_09 - Catalunya,comunidad_autonoma_11 - Extremadura,comunidad_autonoma_12 - Galicia,comunidad_autonoma_15 - Navarra,comunidad_autonoma_unknown,coverage_band_moderate,coverage_band_good,coverage_band_full,carretera_group,y_clf,y_reg
1,73134.81916375237,2001.479851859601,2001.479851859601,116,62.41176470588236,210.0,40.165462852941175,-3.832641605882354,10,0.6714499477683071,74.26,0.0,15.0,158.61118045601566,2,1,87.58823529411764,1,147.58823529411762,0,2,1.0,3.411764705882353,1.0,34.0,0,1.0,4.0,1395.529016439982,8197.075,264.53959137413943,11.200073527966088,7.602141617398564,3.5553480614894135,5.351858133476067,5.072740735544667,0.0,0.5136914819297049,5.58176394961796,0.3200021007990311,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,A-42,0,0
4,43533.38732671929,18506.95214444736,27114.230663275022,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,3,0,150.0,1,0.0,0,0,1.0,0.0,1.4650835238372895,0.0,0,1.0,4.0,3322.7459036894843,8197.075,381.4525327661002,12.067583551254607,9.825955764355045,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,12.067583551254607,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-43,1,3
6,30741.622133786223,3443.2252961910704,5529.045049275425,21,58.16666666666666,100.0,37.24382583333334,-3.641833916666666,5,0.009437594356797,36.48,0.0,66.0,11.385215733796183,4,0,91.83333333333334,1,41.83333333333334,0,2,1.0,3.5,1.6057749852708474,1.0,0,1.0,4.0,3519.59514146677,59346.823,1566.1656742912744,12.125137675924044,8.144454280420527,1.9459101490553132,4.61512051684126,2.516503481747724,0.0,0.009393338491220683,7.357023963819814,1.7321625251320063,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A-44,0,0
3,47414.09425377608,3746.811919435861,4084.232778893053,25,70.52363636363636,350.0,37.27427981818182,-4.534229972727273,5,0.0547113876661974,6.36,0.0,66.0,17.57564594344152,3,1,79.47636363636364,1,279.47636363636366,1,2,1.0,2.272727272727273,1.0900554569357717,3.6666666666666665,0,1.0,4.0,2714.20966412231,59346.823,1566.1656742912744,11.865294129512126,8.228927460518562,2.4849066497880004,5.860786223465865,2.921851364881641,0.0,0.05326716330879515,7.357023963819814,0.9887745107926772,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A-45,0,0
2,225.1697032148337,658.4367490930003,752.8561021385013,2,22.0,22.0,36.753002,-4.42376,1,0.0159969660899153,50.4,1.14,66.0,444.109480859378,1,0,128.0,0,0.0,0,0,1.0,2.0,1.143399275899415,0.5,0,0.9778812572759022,1.5,3.2224478509603776,59346.823,1566.1656742912744,6.112219620613878,6.491386060193294,0.6931471805599453,3.1354942159291497,6.098320276310297,0.76080582903376,0.015870363019858516,7.357023963819814,3.056109810306939,25.08,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,A-45,0,0
1,37084.10977852845,17031.64622298514,17031.64622298514,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,1,0,150.0,1,0.0,0,0,1.0,0.0,1.0,0.0,0,1.0,4.0,707.623972227333,8197.075,381.4525327661002,10.520970814353104,9.742887147550656,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,10.520970814353104,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-48,1,1
2,66452.11771153906,2929.9820929490443,3952.90042029376,62,110.52263157894735,400.0,37.36810763157895,-6.229094978947368,8,0.0141836988172998,25.83,0.0,66.0,46.65013105311016,3,1,39.477368421052645,1,289.47736842105263,1,2,1.0,3.263157894736842,1.3491210167483114,9.5,0,1.0,4.0,2536.024824583157,59346.823,1566.1656742912744,11.797391637628044,7.983092831155909,2.995732273553991,5.993961427306569,3.8638853804240294,0.0,0.01408405130275558,7.357023963819814,0.5898695818814021,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A-49,0,0
1,3112.847945252267,1518.8795109658945,1518.8795109658945,0,0.0,0.0,40.47113672940836,-3.651627949173478,0,0.6186893643023295,18.6,0.0,66.0,0.0,1,0,150.0,1,0.0,0,0,1.0,0.0,1.0,0.0,0,1.0,4.0,59.39810450120257,8197.075,381.4525327661002,8.043614521802992,7.326386341596976,0.0,0.0,0.0,0.0,0.4816167874180782,5.946604548222349,8.043614521802992,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,A-4A,1,1
1,1473.1293217869895,690.3554737647157,690.3554737647157,1,60.0,60.0,37.857365,-4.792339,1,0.0104172617160437,32.6,0.0,66.0,67.88270284288029,1,0,90.0,0,0.0,0,0,1.0,1.0,1.0,1.0,0,1.0,1.5,10.541121539450684,59346.823,1566.1656742912744,7.295822804170096,6.538654125304862,0.6931471805599453,4.110873864173311,4.232405099228826,0.0,0.010363375950220547,7.357023963819814,3.647911402085048,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,A-4R2,0,0
13,30443.322693302976,5870.058614606888,25030.23817332408,236,78.59283018867924,360.0,39.88401233962264,-4.850067267924528,15,0.539296241299905,0.0,0.0,132.0,59.63161885032903,7,1,71.40716981132076,1,281.4071698113207,1,2,1.0,4.452830188679245,4.264052510657993,4.076923076923077,1,0.0,4.0,7551.793093833009,7213.4259999999995,225.6793915246648,12.888573845736605,8.67779023976616,3.9889840465642745,5.8888779583328805,4.1048165202109255,0.0,0.431325325806643,5.423536647005707,0.23867729343956676,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,A-5,0,0
