station_id,road_code,pk_km,year,imd_total,imd_ligeros,imd_pesados,pct_pesados,network,region,source_file
TO-510-4Calzada:,AP-41,39.5,2024,1372.0,1300.0,72.0,5.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-511-4Calzada:,AP-41,45.0,2024,1632.0,1524.0,108.0,6.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-512-4Calzada:,TO-22,9.0,2024,1204.0,1156.0,48.0,4.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-513-4Calzada:,TO-22,5.0,2024,1116.0,1070.0,46.0,4.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-514-4Calzada:,A-40,120.0,2024,4548.0,3860.0,688.0,15.1,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-515-4Calzada:,A-40,128.0,2024,4750.0,4022.0,728.0,15.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-516-4Calzada:,A-40,131.0,2024,1222.0,938.0,284.0,23.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
TO-517-4Calzada:,A-40,34.0,2024,1112.0,1072.0,40.0,3.6,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
Z-504-4,AP-68,243.0,2024,11668.0,9664.0,2004.0,17.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
Z-505-4,AP-68,260.51,2024,11976.0,10086.0,1890.0,15.8,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
Z-506-4,AP-68,273.01,2024,11394.0,9646.0,1748.0,15.3,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
Z-507-4,AP-68,284.0,2024,12604.0,10714.0,1890.0,15.0,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
Z-508-4,A-68,245.0,2024,48664.0,40284.0,8380.0,17.2,Autopista Peaje,España,datos_historicos_peajes_2024.pdf
